Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
OPM %,27%,28%,29%,32%,26%,28%,27%,35%,22%,27%,30%,34%,24%,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,16,15,17,23,24,14,26,16,50,16,18,19,18,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,9,12,14,10,10,13,11,13,12,13,12,16,12,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,86,90,95,96,102,105,108,111,107,111,109,106,111,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,93,130,140,231,123,151,138,209,101,137,181,240,101,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,20%,22%,22%,23%,24%,23%,19%,10%,25%,23%,27%,24%,14%,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,74,102,110,179,93,116,112,189,76,106,131,183,87,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.84,2.54,2.73,4.45,2.32,2.90,2.77,4.69,1.88,2.64,3.26,4.55,2.15,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,SYNGENE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,800,851,870,833,911,1009,1003,1006,1002,1001,1000,1024,1041,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,669,712,718,667,729,812,810,845,814,825,837,861,877,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,131,140,151,166,182,197,193,160,189,175,163,163,164,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,16%,17%,20%,20%,20%,19%,16%,19%,18%,16%,16%,16%,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,4,11,6,5,5,6,5,26,10,10,9,11,12,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,0,0,0,0,1,2,2,2,2,2,1,1,1,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,9,10,12,15,16,23,23,23,23,23,25,27,27,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,126,140,145,156,170,179,173,162,174,161,147,146,147,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,20%,21%,20%,23%,20%,20%,19%,20%,19%,19%,19%,20%,20%,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,100,110,117,120,135,143,140,130,141,130,119,117,118,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,7.40,8.14,8.58,8.95,10.07,10.60,10.42,9.69,10.50,9.68,8.80,8.72,8.80,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TANLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3995,4239,4148,4407,4218,3998,3730,3475,3789,3999,3590,3509,3719,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2980,3319,3317,3442,3175,3191,3188,3032,3215,3381,3156,3182,3070,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1015,920,831,965,1043,807,542,443,574,618,434,327,649,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,25%,22%,20%,22%,25%,20%,15%,13%,15%,15%,12%,9%,17%,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,71,102,30,86,67,187,98,-861,116,152,-10,29,138,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,80,86,107,133,123,145,132,130,133,145,148,137,147,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,213,218,227,234,229,234,246,271,273,277,280,293,280,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,793,718,527,684,758,615,262,-819,284,348,-4,-74,360,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,20%,5%,19%,-1%,23%,20%,26%,3%,33%,23%,425%,-34%,12%,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,637,680,425,692,587,495,194,-841,190,267,-21,-49,316,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,23.12,24.65,15.35,27.83,20.88,16.80,6.20,-33.36,5.89,7.61,-2.08,-2.20,9.89,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TATACHEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3327,3363,3475,3619,3741,3734,3804,3927,4352,4214,4444,4608,4779,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2870,2929,3021,3107,3196,3197,3232,3297,3685,3588,3879,3987,4172,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,457,434,454,512,545,537,572,630,667,626,565,621,607,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,14%,13%,13%,14%,15%,14%,15%,16%,15%,15%,13%,13%,13%,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,11,141,128,49,53,75,-32,-177,22,19,45,102,41,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,16,20,24,28,26,28,33,43,94,99,58,40,34,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,73,73,75,83,82,94,86,116,148,149,150,153,149,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,379,482,482,450,489,491,422,294,448,397,402,530,465,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,27%,26%,23%,23%,27%,27%,25%,9%,30%,10%,25%,23%,26%,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,277,389,364,290,338,364,302,212,289,367,282,349,332,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.67,3.43,3.65,2.78,3.28,3.51,2.89,2.19,2.93,3.68,2.82,3.49,3.38,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,146,146,155,157,163,173,190,200,212,191,206,221,231
Expenses +,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,123,133,135,140,141,160,158,157,165,153,164,171,184
Operating Profit,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,22,13,20,16,22,13,32,44,47,38,42,50,47
OPM %,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,15%,9%,13%,11%,14%,8%,17%,22%,22%,20%,20%,23%,20%
Other Income +,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,-2,-2,-10,4,-3,7,7,-1,0,2,1,0,-1
Interest,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,0,0,0
Depreciation,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,8,9,12,9,8,7,1
Profit before tax,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,14,5,3,13,13,14,30,33,35,31,35,43,45
Tax %,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,25%,29%,37%,31%,36%,36%,34%,34%,38%,33%,33%,36%,34%
Net Profit +,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,8,3,2,9,8,9,20,22,22,21,24,28,30
EPS in Rs,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,1.33,0.42,0.29,1.40,1.31,1.43,3.20,3.46,3.51,3.34,3.79,4.46,4.79
Raw PDF,,,,,,,,,,,,,,TATAELXSI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,71935,79611,88489,105932,102236,105129,110577,119033,107102,101450,112608,119503,104407,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,69522,74039,77668,92818,89019,91362,95159,102348,91854,89291,100185,102685,94183,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,2413,5572,10820,13114,13217,13767,15418,16685,15248,12159,12423,16818,10224,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,3%,7%,12%,12%,13%,13%,14%,14%,14%,12%,11%,14%,10%,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2381,1351,1130,1453,895,1557,1604,1412,6553,1647,1700,1057,1595,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2421,2487,2676,2642,2615,2652,2485,1645,1471,2034,1119,1076,938,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,5841,5897,6072,7050,6633,6637,6850,7143,6565,6005,5399,5295,5320,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,-3468,-1461,3203,4875,4864,6035,7687,9309,13765,5767,7605,11504,5561,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,44%,-31%,8%,-13%,32%,36%,7%,-88%,23%,40%,28%,26%,28%,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,-4951,-898,3043,5496,3301,3832,7145,17528,10587,3450,5485,8556,4003,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-15.08,-2.84,8.91,16.28,9.64,11.33,21.14,52.37,31.63,9.08,14.69,23.01,10.66,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,14495,14031,14129,12454,15213,15738,14651,15847,17294,15698,15391,17096,18035,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,12812,12270,11810,10526,12500,12967,12234,13540,14232,12427,12312,14028,14470,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1683,1760,2319,1928,2713,2771,2417,2307,3062,3271,3079,3068,3565,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,12%,13%,16%,15%,18%,18%,16%,15%,18%,21%,20%,18%,20%,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,1227,1502,1497,1352,877,567,1092,1407,578,632,589,861,494,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1026,1052,1098,1196,1221,1182,1094,1136,1176,1143,1170,1213,1279,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,822,838,853,926,893,926,926,1041,973,987,1041,1116,1161,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1062,1373,1864,1158,1476,1231,1489,1537,1490,1773,1457,1600,1619,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,17%,32%,44%,19%,23%,17%,28%,32%,20%,38%,18%,18%,22%,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,884,935,1052,939,1141,1017,1076,1046,1189,1093,1188,1306,1262,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.49,2.56,2.96,2.43,3.04,2.74,2.98,2.80,3.04,2.90,3.23,3.26,3.32,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TATAPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,63430,59878,57084,62962,59490,55682,55312,58687,54771,53905,53648,56218,53178,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,48457,53817,53036,55742,54587,51414,49048,52087,48077,47789,47745,49659,45751,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,14973,6060,4048,7219,4903,4268,6264,6601,6694,6116,5903,6559,7428,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,24%,10%,7%,11%,8%,8%,11%,11%,12%,11%,11%,12%,14%,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,388,412,491,277,1190,-6568,-33,-382,-6,617,142,149,236,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1218,1519,1768,1794,1825,1959,1881,1842,1777,1971,1804,1789,1852,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,2237,2348,2368,2382,2412,2480,2422,2568,2535,2597,2569,2720,2744,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,11906,2605,403,3321,1855,-6739,1928,1809,2377,2164,1672,2200,3067,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,35%,50%,721%,53%,72%,-3%,73%,69%,61%,65%,82%,45%,35%,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,7714,1297,-2502,1566,525,-6511,522,555,919,759,295,1201,2007,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,6.36,1.24,-1.82,1.40,0.52,-5.07,0.42,0.49,0.77,0.67,0.26,1.04,1.66,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,52758,55309,58229,59162,59381,59692,60583,61237,62613,64259,63973,64479,63437,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,39342,40793,42676,43388,44383,43946,44195,44073,45951,47528,46939,47499,46562,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,13416,14516,15553,15774,14998,15746,16388,17164,16662,16731,17034,16980,16875,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,25%,26%,27%,27%,25%,26%,27%,28%,27%,26%,27%,26%,27%,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,789,965,520,1175,1397,1006,-96,1157,962,729,1243,1028,1660,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,199,148,160,272,163,159,230,226,173,162,234,227,195,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,1230,1237,1269,1286,1243,1263,1233,1246,1220,1266,1377,1379,1361,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,12776,14096,14644,15391,14989,15330,14829,16849,16231,16032,16666,16402,16979,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,26%,26%,26%,26%,26%,25%,26%,25%,25%,25%,25%,24%,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,9519,10465,10883,11436,11120,11380,11097,12502,12105,11955,12444,12293,12819,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,25.90,28.51,29.64,31.13,30.26,31.00,30.56,34.37,33.28,32.92,34.22,33.79,35.27,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TCS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,12708,13130,13735,13718,13159,12864,13101,12871,13006,13313,13286,13384,13351,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,10828,11185,11600,11915,11821,11950,11955,11772,11441,11563,11477,11545,11416,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1880,1944,2135,1803,1338,914,1146,1099,1564,1750,1809,1839,1935,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,15%,16%,13%,10%,7%,9%,9%,12%,13%,14%,14%,14%,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,122,290,247,306,200,264,92,380,147,522,23,173,219,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,40,79,113,93,120,98,116,58,72,89,76,85,78,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,477,492,498,490,447,466,443,461,462,470,459,462,458,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1486,1664,1771,1525,971,615,679,959,1178,1714,1297,1464,1618,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,23%,22%,27%,26%,28%,18%,23%,31%,27%,27%,24%,22%,30%,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1148,1299,1285,1125,704,505,524,664,865,1258,989,1142,1129,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,11.64,13.21,13.32,11.47,7.10,5.06,5.23,6.77,8.71,12.78,10.05,11.92,11.65,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TECHM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1654,2075,2049,2311,1933,2302,2324,2764,2184,2612,2508,3085,2150,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1559,1935,1888,2111,1801,2098,2137,2491,2044,2334,2319,2785,1925,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,96,140,161,200,132,204,187,273,141,278,188,300,225,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,6%,7%,8%,9%,7%,9%,8%,10%,6%,11%,8%,10%,10%,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,21,40,42,58,2,66,185,55,84,60,32,78,66,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,7,8,9,14,13,20,27,28,27,29,29,31,30,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,29,30,29,29,29,33,36,50,36,42,35,45,49,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,81,142,165,214,91,217,309,251,161,266,156,301,211,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,23%,23%,27%,34%,27%,23%,25%,32%,26%,27%,32%,28%,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,59,109,126,156,60,159,237,188,109,198,114,206,151,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.95,9.16,10.59,13.09,4.94,13.24,20.00,15.97,9.72,16.54,9.73,17.27,12.79,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,THERMAX.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3776,3767,3643,3778,3898,4306,4197,4490,4578,4925,4812,5150,5309,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3379,3256,3174,3288,3431,3744,3728,4039,4047,4434,4321,4813,4763,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,397,511,469,489,467,562,469,451,531,490,491,337,546,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,14%,13%,13%,12%,13%,11%,10%,12%,10%,10%,7%,10%,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,29,7,95,188,42,59,609,77,62,71,77,150,72,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,9,12,11,11,11,13,13,15,16,16,15,16,17,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,85,92,95,124,108,112,119,115,110,119,127,137,152,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,332,414,460,542,390,496,946,398,467,426,426,334,449,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,33%,29%,12%,27%,30%,12%,31%,32%,30%,34%,53%,32%,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,247,277,324,477,284,346,828,274,317,299,280,158,303,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.08,11.08,12.19,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40,10.28,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TIINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TIMKEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,9443,9163,11609,10360,11897,12529,14164,12494,13266,14534,17740,14916,16523,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,8247,7916,10262,9271,10772,11118,12599,11303,12019,13298,16066,13379,14693,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1196,1247,1347,1089,1125,1411,1565,1191,1247,1236,1674,1537,1830,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,13%,14%,12%,11%,9%,11%,11%,10%,9%,8%,9%,10%,11%,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,44,61,90,114,114,125,136,159,120,123,128,116,105,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,65,60,79,96,109,140,169,201,230,240,231,252,271,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,103,106,113,119,128,144,154,158,164,171,175,183,184,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1072,1142,1245,988,1002,1252,1378,991,973,948,1396,1218,1480,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,27%,27%,26%,25%,27%,24%,22%,27%,26%,25%,28%,26%,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,790,835,913,736,756,916,1053,771,715,704,1047,871,1091,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,8.84,9.36,10.18,8.22,8.48,10.31,11.86,8.68,8.05,7.93,11.79,9.81,12.29,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TITAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2347,2291,2491,2491,2591,2660,2732,2745,2859,2889,2809,2959,3178,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1635,1612,1767,1764,1800,1835,1863,1862,1955,1950,1895,1995,2146,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,712,679,724,727,791,825,869,883,904,939,914,964,1032,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,30%,30%,29%,29%,31%,31%,32%,32%,32%,32%,33%,33%,32%,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,30,16,-10,9,34,26,55,31,24,-16,33,-42,-37,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,55,69,102,107,103,91,80,80,75,64,57,56,56,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,155,163,193,196,191,201,213,203,197,198,199,201,201,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
